Graph,Dimension,#nodes,#edges,Gamma,Time,Initial_solution_time,Best_solution_time,Best_solution_size,Solver
Batman_Returns.txt,small,51,124,0.3,300.005908,0.004884,0.062557,4,ILS
Batman_Returns.txt,small,51,124,0.5,300.009179,0.007967,0.029613,9,ILS
Batman_Returns.txt,small,51,124,0.6,300.010008,0.008719,0.025819,11,ILS
Batman_Returns.txt,small,51,124,0.7,300.016565,0.014941,0.047743,15,ILS
Batman_Returns.txt,small,51,124,0.8,300.020699,0.015884,1.609846,17,ILS
Batman_Returns.txt,small,51,124,0.9,300.022591,0.014032,0.281463,20,ILS
4-FullIns_3.txt,small,114,541,0.3,300.037277,0.035265,0.159021,9,ILS
4-FullIns_3.txt,small,114,541,0.5,300.08214,0.08146,0.267074,20,ILS
4-FullIns_3.txt,small,114,541,0.6,300.113192,0.11013,0.252612,30,ILS
4-FullIns_3.txt,small,114,541,0.7,300.244019,0.2085,8.060902,51,ILS
4-FullIns_3.txt,small,114,541,0.8,300.217316,0.204824,4.952776,52,ILS
4-FullIns_3.txt,small,114,541,0.9,300.272439,0.230808,9.615737,54,ILS
p-hat500-1.mtx,large,500,31569,0.3,500.427197,0.244221,4.737382,5,ILS
p-hat500-1.mtx,large,500,31569,0.5,503.459438,1.760863,112.135046,21,ILS
p-hat500-1.mtx,large,500,31569,0.6,522.494264,2.009539,405.393211,32,ILS
p-hat500-1.mtx,large,500,31569,0.7,503.711254,3.535897,57.195353,50,ILS
p-hat500-1.mtx,large,500,31569,0.8,504.079423,3.89061,122.091816,62,ILS
p-hat500-1.mtx,large,500,31569,0.9,505.121393,5.043253,92.980893,83,ILS
p-hat500-3.mtx,large,500,93800,0.3,500.082738,0.082243,0.082243,1,ILS
p-hat500-3.mtx,large,500,93800,0.5,500.073077,0.072875,0.072875,1,ILS
p-hat500-3.mtx,large,500,93800,0.6,500.071819,0.071574,0.071574,1,ILS
p-hat500-3.mtx,large,500,93800,0.7,500.073707,0.072817,0.072817,1,ILS
p-hat500-3.mtx,large,500,93800,0.8,500.46211,0.162415,24.503232,5,ILS
p-hat500-3.mtx,large,500,93800,0.9,587.194378,0.582614,152.051168,13,ILS
662_bus.mtx,large,662,1568,0.3,518.263989,18.017213,47.361713,128,ILS
662_bus.mtx,large,662,1568,0.5,532.279145,30.935227,265.871808,200,ILS
662_bus.mtx,large,662,1568,0.6,538.429127,38.264823,267.398511,253,ILS
662_bus.mtx,large,662,1568,0.7,2787.807844,61.014641,2785.499832,356,ILS
662_bus.mtx,large,662,1568,0.8,561.726279,61.148045,165.978337,358,ILS
662_bus.mtx,large,662,1568,0.9,565.208679,63.668365,477.938096,361,ILS
brock800-3.mtx,large,800,207333,0.3,500.164948,0.16431,0.16431,1,ILS
brock800-3.mtx,large,800,207333,0.5,500.236916,0.236436,0.362548,1,ILS
brock800-3.mtx,large,800,207333,0.6,503.18165,3.180992,3.928566,1,ILS
brock800-3.mtx,large,800,207333,0.7,521.295635,5.011801,121.157182,4,ILS
brock800-3.mtx,large,800,207333,0.8,576.676994,3.855346,27.642058,14,ILS
brock800-3.mtx,large,800,207333,0.9,518.464977,3.915939,77.612745,30,ILS
